X|X|IT|IMS|T
84|Administración Pública y defensa; Seguridad Social obligatoria|0.65|1.00|1.65
842|Prestación de servicios a la comunidad en general|1.40|2.20|3.60
85|Educación|0.80|0.70|1.50
86|Actividades sanitarias|0.80|0.70|1.50
869|Otras actividades sanitarias|0.95|0.80|1.75
87|Asistencia en establecimientos residenciales|0.80|0.70|1.50
88|Actividades de servicios sociales sin alojamiento|0.80|0.70|1.50
90|Actividades de creación, artísticas y espectáculos|0.80|0.70|1.50
91|Actividades de bibliotecas, archivos, museos y otras actividades culturales|0.80|0.70|1.50
9104|Actividades de los jardines botánicos, parques zoológicos y reservas naturales|1.75|1.20|2.95
92|Actividades de juegos de azar y apuestas|0.80|0.70|1.50
93|Actividades deportivas, recreativas y de entretenimiento|1.70|1.30|3.00
u|Espectáculos taurinos|2.85|3.35|6.20
94|Actividades asociativas|0.65|1.00|1.65
95|Reparación de ordenadores, efectos personales y artículos de uso doméstico|1.50|1.10|2.60
9524|Reparación de muebles y artículos de menaje|2.00|1.85|3.85
96|Otros servicios personales|0.85|0.70|1.55
9602|Peluquería y otros tratamientos de belleza|0.80|0.70|1.50
9603|Pompas fúnebres y actividades relacionadas|1.80|1.50|3.30
9609|Otros servicios personales n.c.o.p|1.50|1.10|2.60
97|Actividades de los hogares como empleadores de personal doméstico|0.80|0.70|1.50
99|Actividades de organizaciones y organismos extraterritoriales|1.20|1.15|2.35
