CNAE2009,TÍTULO_CNAE2009,CNAE2025,TÍTULO_CNAE2025,NIVEL
12.00,Industria del tabaco,12.00,Industria del tabaco,4
13,Industria textil,13,Industria textil,2
18,Artes gráficas y reproducción de soportes grabados,13,Industria textil,2
13.1,Preparación e hilado de fibras textiles,13.1,Preparación e hilado de fibras textiles,3
13.10,Preparación e hilado de fibras textiles,13.10,Preparación e hilado de fibras textiles,4
13.2,Fabricación de tejidos textiles,13.2,Fabricación de tejidos textiles,3
13.20,Fabricación de tejidos textiles,13.20,Fabricación de tejidos textiles,4
13.3,Acabado de textiles,13.3,Acabado de textiles,3
18.1,Artes gráficas y servicios relacionados con las mismas,13.3,Acabado de textiles,3
13.30,Acabado de textiles,13.30,Acabado de textiles,4
18.12,Otras actividades de impresión y artes gráficas,13.30,Acabado de textiles,4
13.2,Fabricación de tejidos textiles,13.9,Fabricación de otros productos textiles,3
13.9,Fabricación de otros productos textiles,13.9,Fabricación de otros productos textiles,3
13.91,Fabricación de tejidos de punto,13.91,Fabricación de tejidos de punto,4
13.92,"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir",13.92,Fabricación de textiles para el hogar y artículos de decoración confeccionados,4
13.93,Fabricación de alfombras y moquetas,13.93,Fabricación de alfombras y moquetas,4
13.94,"Fabricación de cuerdas, cordeles, bramantes y redes",13.94,"Fabricación de cuerdas, cordeles, bramantes y redes",4
13.95,"Fabricación de telas no tejidas y artículos confeccionados con ellas, excepto prendas de vestir",13.95,Fabricación de telas no tejidas y artículos confeccionados con ellas,4
13.20,Fabricación de tejidos textiles,13.96,Fabricación de otros productos textiles de uso técnico e industrial,4
13.92,"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir",13.96,Fabricación de otros productos textiles de uso técnico e industrial,4
13.96,Fabricación de otros productos textiles de uso técnico e industrial,13.96,Fabricación de otros productos textiles de uso técnico e industrial,4
13.99,Fabricación de otros productos textiles n.c.o.p.,13.99,Fabricación de otros productos textiles n.c.o.p.,4
14,Confección de prendas de vestir,14,Confección de prendas de vestir,2
14.1,"Confección de prendas de vestir, excepto de peletería",14.1,Confección de prendas de vestir de punto,3
14.3,Confección de prendas de vestir de punto,14.1,Confección de prendas de vestir de punto,3
14.13,Confección de otras prendas de vestir exteriores,14.10,Confección de prendas de vestir de punto,4
14.14,Confección de ropa interior,14.10,Confección de prendas de vestir de punto,4
14.19,Confección de otras prendas de vestir y accesorios,14.10,Confección de prendas de vestir de punto,4
14.31,Confección de calcetería,14.10,Confección de prendas de vestir de punto,4
14.39,Confección de otras prendas de vestir de punto,14.10,Confección de prendas de vestir de punto,4
14.1,"Confección de prendas de vestir, excepto de peletería",14.2,Confección de otras prendas de vestir y accesorios,3
14.2,Fabricación de artículos de peletería,14.2,Confección de otras prendas de vestir y accesorios,3
14.13,Confección de otras prendas de vestir exteriores,14.21,Confección de prendas de vestir exteriores,4
14.14,Confección de ropa interior,14.21,Confección de prendas de vestir exteriores,4
14.19,Confección de otras prendas de vestir y accesorios,14.21,Confección de prendas de vestir exteriores,4
14.14,Confección de ropa interior,14.22,Confección de ropa interior,4
14.19,Confección de otras prendas de vestir y accesorios,14.22,Confección de ropa interior,4
14.12,Confección de ropa de trabajo,14.23,Confección de ropa de trabajo,4
14.11,Confección de prendas de vestir de cuero,14.24,Confección de prendas de vestir de cuero y peletería,4
14.20,Fabricación de artículos de peletería,14.24,Confección de prendas de vestir de cuero y peletería,4
14.19,Confección de otras prendas de vestir y accesorios,14.29,Confección de otras prendas de vestir y accesorios n.c.o.p.,4
15,Industria del cuero y del calzado,15,Industria del cuero y productos relacionados de otros materiales,2
16,"Industria de la madera y del corcho, excepto muebles; cestería y espartería",15,Industria del cuero y productos relacionados de otros materiales,2
22,Fabricación de productos de caucho y plásticos,15,Industria del cuero y productos relacionados de otros materiales,2
15.1,"Preparación, curtido y acabado del cuero; fabricación de artículos de marroquinería, viaje y de guarnicionería y talabartería; preparación y teñido de pieles",15.1,"Preparación, teñido y curtido de cueros y pieles; fabricación de artículos de marroquinería, viaje y de guarnicionería y talabartería",3
15.11,"Preparación, curtido y acabado del cuero; preparación y teñido de pieles",15.11,"Preparación, curtido y teñido de cueros y pieles",4
15.12,"Fabricación de artículos de marroquinería, viaje y de guarnicionería y talabartería",15.12,"Fabricación de artículos de marroquinería, viaje y de guarnicionería y talabartería de cualquier material",4
15.2,Fabricación de calzado,15.2,Fabricación de calzado,3
16.2,"Fabricación de productos de madera, corcho, cestería y espartería",15.2,Fabricación de calzado,3
22.1,Fabricación de productos de caucho,15.2,Fabricación de calzado,3
22.2,Fabricación de productos de plástico,15.2,Fabricación de calzado,3
15.20,Fabricación de calzado,15.20,Fabricación de calzado,4
16.29,"Fabricación de otros productos de madera; artículos de corcho, cestería y espartería",15.20,Fabricación de calzado,4
22.19,Fabricación de otros productos de caucho,15.20,Fabricación de calzado,4
22.29,Fabricación de otros productos de plástico,15.20,Fabricación de calzado,4
16,"Industria de la madera y del corcho, excepto muebles; cestería y espartería",16,"Industria de la madera y del corcho, excepto muebles; cestería y espartería",2
16.1,Aserrado y cepillado de la madera,16.1,Aserrado y cepillado de la madera; transformación y acabado de la madera,3
16.10,Aserrado y cepillado de la madera,16.11,Aserrado y cepillado de la madera,4
16.10,Aserrado y cepillado de la madera,16.12,Transformación y acabado de la madera,4
16.2,"Fabricación de productos de madera, corcho, cestería y espartería",16.2,"Fabricación de productos de madera, corcho, cestería y espartería",3
16.21,Fabricación de chapas y tableros de madera,16.21,Fabricación de chapas y tableros de madera,4
16.22,Fabricación de suelos de madera ensamblados,16.22,Fabricación de suelos de madera ensamblados,4
16.23,Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción,16.23,"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción, excepto las destinadas a construcción industrializada",4
16.24,Fabricación de envases y embalajes de madera,16.24,Fabricación de envases y embalajes de madera,4
16.23,Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción,16.25,Fabricación de puertas y ventanas de madera,4
16.29,"Fabricación de otros productos de madera; artículos de corcho, cestería y espartería",16.26,Fabricación de combustibles sólidos a partir de biomasa vegetal,4
16.21,Fabricación de chapas y tableros de madera,16.27,Acabado de productos de madera,4
16.22,Fabricación de suelos de madera ensamblados,16.27,Acabado de productos de madera,4
16.23,Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción,16.27,Acabado de productos de madera,4
16.24,Fabricación de envases y embalajes de madera,16.27,Acabado de productos de madera,4
16.29,"Fabricación de otros productos de madera; artículos de corcho, cestería y espartería",16.27,Acabado de productos de madera,4
16.29,"Fabricación de otros productos de madera; artículos de corcho, cestería y espartería",16.28,"Fabricación de otros productos de madera, artículos de corcho, cestería y espartería",4
16.23,Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción,16.29,Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería destinadas a la construcción industrializada,4
17,Industria del papel,17,Industria del papel,2
17.1,"Fabricación de pasta papelera, papel y cartón",17.1,"Fabricación de pasta papelera, papel y cartón",3
