CNAE2009,TÍTULO_CNAE2009,CNAE2025,TÍTULO_CNAE2025,NIVEL
27.4,Fabricación de lámparas y aparatos eléctricos de iluminación,27.4,Fabricación de equipos de iluminación,3
27.40,Fabricación de lámparas y aparatos eléctricos de iluminación,27.40,Fabricación de equipos de iluminación,4
27.5,Fabricación de aparatos domésticos,27.5,Fabricación de aparatos domésticos,3
27.51,Fabricación de electrodomésticos,27.51,Fabricación de electrodomésticos,4
27.52,Fabricación de aparatos domésticos no eléctricos,27.52,Fabricación de aparatos domésticos no eléctricos,4
27.9,Fabricación de otro material y equipo eléctrico,27.9,Fabricación de otro material y equipo eléctrico,3
28.4,Fabricación de máquinas herramienta para trabajar el metal y otras máquinas herramienta,27.9,Fabricación de otro material y equipo eléctrico,3
27.90,Fabricación de otro material y equipo eléctrico,27.90,Fabricación de otro material y equipo eléctrico,4
28.49,Fabricación de otras máquinas herramienta,27.90,Fabricación de otro material y equipo eléctrico,4
25,"Fabricación de productos metálicos, excepto maquinaria y equipo",28,Fabricación de maquinaria y equipo n.c.o.p.,2
28,Fabricación de maquinaria y equipo n.c.o.p.,28,Fabricación de maquinaria y equipo n.c.o.p.,2
28.1,Fabricación de maquinaria de uso general,28.1,Fabricación de maquinaria de uso general,3
28.11,"Fabricación de motores y turbinas, excepto los destinados a aeronaves, vehículos automóviles y ciclomotores",28.11,"Fabricación de motores y turbinas, excepto los destinados a aeronaves, vehículos automóviles y ciclomotores",4
28.12,Fabricación de equipos de transmisión hidráulica y neumática,28.12,Fabricación de equipos de transmisión hidráulica y neumática,4
28.13,Fabricación de otras bombas y compresores,28.13,Fabricación de otras bombas y compresores,4
28.14,Fabricación de otra grifería y válvulas,28.14,Fabricación de otra grifería y válvulas,4
28.15,"Fabricación de cojinetes, engranajes y órganos mecánicos de transmisión",28.15,"Fabricación de cojinetes, engranajes y órganos mecánicos de transmisión",4
25.2,"Fabricación de cisternas, grandes depósitos y contenedores de metal",28.2,Fabricación de otra maquinaria de uso general,3
28.2,Fabricación de otra maquinaria de uso general,28.2,Fabricación de otra maquinaria de uso general,3
25.21,Fabricación de radiadores y calderas para calefacción central,28.21,"Fabricación de hornos, quemadores y equipos de calefacción doméstica permanente",4
28.21,Fabricación de hornos y quemadores,28.21,"Fabricación de hornos, quemadores y equipos de calefacción doméstica permanente",4
28.22,Fabricación de maquinaria de elevación y manipulación,28.22,Fabricación de maquinaria de elevación y manipulación,4
28.23,"Fabricación de máquinas y equipos de oficina, excepto equipos informáticos",28.23,"Fabricación de máquinas y equipos de oficina, excepto equipos informáticos",4
28.24,Fabricación de herramientas eléctricas manuales,28.24,Fabricación de herramientas eléctricas manuales,4
28.21,Fabricación de hornos y quemadores,28.25,Fabricación de equipos de aire acondicionado no domésticos,4
28.25,Fabricación de maquinaria de ventilación y refrigeración no doméstica,28.25,Fabricación de equipos de aire acondicionado no domésticos,4
28.29,Fabricación de otra maquinaria de uso general n.c.o.p.,28.29,Fabricación de otra maquinaria de uso general n.c.o.p.,4
28.3,Fabricación de maquinaria agraria y forestal,28.3,Fabricación de maquinaria agraria y forestal,3
28.9,Fabricación de otra maquinaria para usos específicos,28.3,Fabricación de maquinaria agraria y forestal,3
28.30,Fabricación de maquinaria agraria y forestal,28.30,Fabricación de maquinaria agraria y forestal,4
28.92,Fabricación de maquinaria para las industrias extractivas y de la construcción,28.30,Fabricación de maquinaria agraria y forestal,4
28.4,Fabricación de máquinas herramienta para trabajar el metal y otras máquinas herramienta,28.4,Fabricación de maquinaria para el conformado de metales y de máquinas herramienta,3
28.41,Fabricación de máquinas herramienta para trabajar el metal,28.41,Fabricación de maquinaria para el conformado de metales y de otras máquinas herramienta para trabajar el metal,4
28.49,Fabricación de otras máquinas herramienta,28.41,Fabricación de maquinaria para el conformado de metales y de otras máquinas herramienta para trabajar el metal,4
28.49,Fabricación de otras máquinas herramienta,28.42,Fabricación de otras máquinas herramienta,4
28.2,Fabricación de otra maquinaria de uso general,28.9,Fabricación de otra maquinaria para usos específicos,3
28.9,Fabricación de otra maquinaria para usos específicos,28.9,Fabricación de otra maquinaria para usos específicos,3
28.91,Fabricación de maquinaria para la industria metalúrgica,28.91,Fabricación de maquinaria para la industria metalúrgica,4
28.92,Fabricación de maquinaria para las industrias extractivas y de la construcción,28.92,Fabricación de maquinaria para las industrias extractivas y de la construcción,4
28.29,Fabricación de otra maquinaria de uso general n.c.o.p.,28.93,"Fabricación de maquinaria para la industria de la alimentación, bebidas y tabaco",4
28.93,"Fabricación de maquinaria para la industria de la alimentación, bebidas y tabaco",28.93,"Fabricación de maquinaria para la industria de la alimentación, bebidas y tabaco",4
28.94,"Fabricación de maquinaria para las industrias textil, de la confección y del cuero",28.94,"Fabricación de maquinaria para las industrias textil, de la confección y del cuero",4
28.95,Fabricación de maquinaria para la industria del papel y del cartón,28.95,Fabricación de maquinaria para la industria del papel y del cartón,4
28.96,Fabricación de maquinaria para la industria del plástico y el caucho,28.96,Fabricación de maquinaria para las industrias del plástico y del caucho,4
28.96,Fabricación de maquinaria para la industria del plástico y el caucho,28.97,Fabricación de maquinaria de fabricación aditiva,4
28.99,Fabricación de otra maquinaria para usos específicos n.c.o.p.,28.97,Fabricación de maquinaria de fabricación aditiva,4
28.99,Fabricación de otra maquinaria para usos específicos n.c.o.p.,28.99,Fabricación de otra maquinaria para usos específicos n.c.o.p.,4
23,Fabricación de otros productos minerales no metálicos,29,"Fabricación de vehículos de motor, remolques y semirremolques",2
27,Fabricación de material y equipo eléctrico,29,"Fabricación de vehículos de motor, remolques y semirremolques",2
28,Fabricación de maquinaria y equipo n.c.o.p.,29,"Fabricación de vehículos de motor, remolques y semirremolques",2
29,"Fabricación de vehículos de motor, remolques y semirremolques",29,"Fabricación de vehículos de motor, remolques y semirremolques",2
27.1,"Fabricación de motores, generadores y transformadores eléctricos, y de aparatos de distribución y control eléctrico",29.1,Fabricación de vehículos de motor,3
29.1,Fabricación de vehículos de motor,29.1,Fabricación de vehículos de motor,3
27.11,"Fabricación de motores, generadores y transformadores eléctricos",29.10,Fabricación de vehículos de motor,4
29.10,Fabricación de vehículos de motor,29.10,Fabricación de vehículos de motor,4
29.2,Fabricación de carrocerías para vehículos de motor; fabricación de remolques y semirremolques,29.2,Fabricación de carrocerías para vehículos de motor; fabricación de remolques y semirremolques,3
29.20,Fabricación de carrocerías para vehículos de motor; fabricación de remolques y semirremolques,29.20,Fabricación de carrocerías para vehículos de motor; fabricación de remolques y semirremolques,4
23.1,Fabricación de vidrio y productos de vidrio,29.3,Fabricación de repuestos y accesorios de vehículos de motor,3
27.9,Fabricación de otro material y equipo eléctrico,29.3,Fabricación de repuestos y accesorios de vehículos de motor,3
28.1,Fabricación de maquinaria de uso general,29.3,Fabricación de repuestos y accesorios de vehículos de motor,3
28.2,Fabricación de otra maquinaria de uso general,29.3,Fabricación de repuestos y accesorios de vehículos de motor,3
29.3,"Fabricación de componentes, piezas y accesorios para vehículos de motor",29.3,Fabricación de repuestos y accesorios de vehículos de motor,3
27.90,Fabricación de otro material y equipo eléctrico,29.31,Fabricación de equipos eléctricos y electrónicos para vehículos de motor,4
29.31,Fabricación de equipos eléctricos y electrónicos para vehículos de motor,29.31,Fabricación de equipos eléctricos y electrónicos para vehículos de motor,4
23.12,Manipulado y transformación de vidrio plano,29.32,"Fabricación de otros componentes, piezas y accesorios para vehículos de motor",4
28.11,"Fabricación de motores y turbinas, excepto los destinados a aeronaves, vehículos automóviles y ciclomotores",29.32,"Fabricación de otros componentes, piezas y accesorios para vehículos de motor",4
28.25,Fabricación de maquinaria de ventilación y refrigeración no doméstica,29.32,"Fabricación de otros componentes, piezas y accesorios para vehículos de motor",4
29.32,"Fabricación de otros componentes, piezas y accesorios para vehículos de motor",29.32,"Fabricación de otros componentes, piezas y accesorios para vehículos de motor",4
28,Fabricación de maquinaria y equipo n.c.o.p.,30,Fabricación de otro material de transporte,2
30,Fabricación de otro material de transporte,30,Fabricación de otro material de transporte,2
30.1,Construcción naval,30.1,Construcción naval,3
30.11,Construcción de barcos y estructuras flotantes,30.11,Construcción de buques civiles y estructuras flotantes,4
30.12,Construcción de embarcaciones de recreo y deporte,30.12,Construcción de embarcaciones de recreo y deporte,4
30.11,Construcción de barcos y estructuras flotantes,30.13,Construcción de embarcaciones y buques militares,4
30.2,Fabricación de locomotoras y material ferroviario,30.2,Fabricación de locomotoras y material ferroviario,3
30.20,Fabricación de locomotoras y material ferroviario,30.20,Fabricación de locomotoras y material ferroviario,4
30.3,Construcción aeronáutica y espacial y su maquinaria,30.3,Construcción aeronáutica y espacial y su maquinaria,3
30.30,Construcción aeronáutica y espacial y su maquinaria,30.31,Construcción aeronáutica y espacial civil y su maquinaria,4
30.30,Construcción aeronáutica y espacial y su maquinaria,30.32,Construcción aeronáutica y espacial militar y su maquinaria,4
30.4,Fabricación de vehículos militares de combate,30.4,Fabricación de vehículos militares de combate,3
30.40,Fabricación de vehículos militares de combate,30.40,Fabricación de vehículos militares de combate,4
28.1,Fabricación de maquinaria de uso general,30.9,Fabricación de otro material de transporte n.c.o.p.,3
30.9,Fabricación de otro material de transporte n.c.o.p.,30.9,Fabricación de otro material de transporte n.c.o.p.,3
28.11,"Fabricación de motores y turbinas, excepto los destinados a aeronaves, vehículos automóviles y ciclomotores",30.91,Fabricación de motocicletas,4
30.91,Fabricación de motocicletas,30.91,Fabricación de motocicletas,4
30.91,Fabricación de motocicletas,30.92,Fabricación de bicicletas y de vehículos para personas con discapacidad,4
30.92,Fabricación de bicicletas y de vehículos para personas con discapacidad,30.92,Fabricación de bicicletas y de vehículos para personas con discapacidad,4
30.99,Fabricación de otro material de transporte n.c.o.p.,30.99,Fabricación de otro material de transporte n.c.o.p.,4
23,Fabricación de otros productos minerales no metálicos,31,Fabricación de muebles,2
31,Fabricación de muebles,31,Fabricación de muebles,2
23.4,Fabricación de otros productos cerámicos,31.0,Fabricación de muebles,3
31.0,Fabricación de muebles,31.0,Fabricación de muebles,3
23.42,Fabricación de aparatos sanitarios cerámicos,31.00,Fabricación de muebles,4
31.01,Fabricación de muebles de oficina y de establecimientos comerciales,31.00,Fabricación de muebles,4
31.02,Fabricación de muebles de cocina,31.00,Fabricación de muebles,4
31.03,Fabricación de colchones,31.00,Fabricación de muebles,4
31.09,Fabricación de otros muebles,31.00,Fabricación de muebles,4
27,Fabricación de material y equipo eléctrico,32,Otras industrias manufactureras,2
32,Otras industrias manufactureras,32,Otras industrias manufactureras,2
32.1,"Fabricación de artículos de joyería, bisutería y similares",32.1,"Fabricación de artículos de joyería, bisutería y similares",3
32.11,Fabricación de monedas,32.11,Fabricación de monedas,4
32.12,Fabricación de artículos de joyería y artículos similares,32.12,Fabricación de artículos de joyería y artículos similares,4
32.13,Fabricación de artículos de bisutería y artículos similares,32.13,Fabricación de artículos de bisutería y artículos similares,4
32.2,Fabricación de instrumentos musicales,32.2,Fabricación de instrumentos musicales,3
32.20,Fabricación de instrumentos musicales,32.20,Fabricación de instrumentos musicales,4
32.3,Fabricación de artículos de deporte,32.3,Fabricación de artículos de deporte,3
32.30,Fabricación de artículos de deporte,32.30,Fabricación de artículos de deporte,4
32.4,Fabricación de juegos y juguetes,32.4,Fabricación de juegos y juguetes,3
32.40,Fabricación de juegos y juguetes,32.40,Fabricación de juegos y juguetes,4
32.5,Fabricación de instrumentos y suministros médicos y odontológicos,32.5,Fabricación de instrumentos y suministros médicos y odontológicos,3
32.9,Industrias manufactureras n.c.o.p.,32.5,Fabricación de instrumentos y suministros médicos y odontológicos,3
32.50,Fabricación de instrumentos y suministros médicos y odontológicos,32.50,Fabricación de instrumentos y suministros médicos y odontológicos,4
32.99,Otras industrias manufactureras n.c.o.p.,32.50,Fabricación de instrumentos y suministros médicos y odontológicos,4
27.9,Fabricación de otro material y equipo eléctrico,32.9,Industrias manufactureras n.c.o.p.,3
32.3,Fabricación de artículos de deporte,32.9,Industrias manufactureras n.c.o.p.,3
32.9,Industrias manufactureras n.c.o.p.,32.9,Industrias manufactureras n.c.o.p.,3
32.91,"Fabricación de escobas, brochas y cepillos",32.91,"Fabricación de escobas, brochas y cepillos",4
27.90,Fabricación de otro material y equipo eléctrico,32.99,Otras industrias manufactureras n.c.o.p.,4
32.30,Fabricación de artículos de deporte,32.99,Otras industrias manufactureras n.c.o.p.,4
32.99,Otras industrias manufactureras n.c.o.p.,32.99,Otras industrias manufactureras n.c.o.p.,4
30,Fabricación de otro material de transporte,33,"Reparación, mantenimiento e instalación de maquinaria y equipos",2
33,Reparación e instalación de maquinaria y equipo,33,"Reparación, mantenimiento e instalación de maquinaria y equipos",2
30.4,Fabricación de vehículos militares de combate,33.1,"Reparación y mantenimiento de productos metálicos, maquinaria y equipos",3
33.1,"Reparación de productos metálicos, maquinaria y equipo",33.1,"Reparación y mantenimiento de productos metálicos, maquinaria y equipos",3
33.11,Reparación de productos metálicos,33.11,Reparación y mantenimiento de productos metálicos,4
33.12,Reparación de maquinaria,33.12,Reparación y mantenimiento de maquinaria,4
33.13,Reparación de equipos electrónicos y ópticos,33.13,Reparación y mantenimiento de equipos electrónicos y ópticos,4
33.14,Reparación de equipos eléctricos,33.14,Reparación y mantenimiento de equipos eléctricos,4
33.12,Reparación de maquinaria,33.15,Reparación y mantenimiento de buques y embarcaciones civiles,4
33.15,Reparación y mantenimiento naval,33.15,Reparación y mantenimiento de buques y embarcaciones civiles,4
33.16,Reparación y mantenimiento aeronáutico y espacial,33.16,Reparación y mantenimiento aeronáutico y espacial civil,4
33.11,Reparación de productos metálicos,33.17,Reparación y mantenimiento de otro material de transporte civil,4
33.17,Reparación y mantenimiento de otro material de transporte,33.17,Reparación y mantenimiento de otro material de transporte civil,4
30.40,Fabricación de vehículos militares de combate,33.18,"Reparación y mantenimiento de vehículos de combate, buques, embarcaciones, vehículos aéreos y espaciales militares",4
33.12,Reparación de maquinaria,33.18,"Reparación y mantenimiento de vehículos de combate, buques, embarcaciones, vehículos aéreos y espaciales militares",4
33.15,Reparación y mantenimiento naval,33.18,"Reparación y mantenimiento de vehículos de combate, buques, embarcaciones, vehículos aéreos y espaciales militares",4
33.16,Reparación y mantenimiento aeronáutico y espacial,33.18,"Reparación y mantenimiento de vehículos de combate, buques, embarcaciones, vehículos aéreos y espaciales militares",4
33.19,Reparación de otros equipos,33.19,Reparación y mantenimiento de otros equipos,4
33.2,Instalación de máquinas y equipos industriales,33.2,Instalación de máquinas y equipos industriales,3
33.20,Instalación de máquinas y equipos industriales,33.20,Instalación de máquinas y equipos industriales,4
35,"Suministro de energía eléctrica, gas, vapor y aire acondicionado",35,"Suministro de energía eléctrica, gas, vapor y aire acondicionado",2
52,Almacenamiento y actividades anexas al transporte,35,"Suministro de energía eléctrica, gas, vapor y aire acondicionado",2
35.1,"Producción, transporte y distribución de energía eléctrica",35.1,"Producción, transporte y distribución de energía eléctrica",3
35.16,Producción de energía eléctrica de origen térmico convencional,35.11,Producción de energía eléctrica a partir de fuentes no renovables,4
35.17,Producción de energía eléctrica de origen nuclear,35.11,Producción de energía eléctrica a partir de fuentes no renovables,4
35.19,Producción de energía eléctrica de otros tipos,35.11,Producción de energía eléctrica a partir de fuentes no renovables,4
35.15,Producción de energía hidroeléctrica,35.12,Producción de energía eléctrica a partir de fuentes renovables,4
35.18,Producción de energía eléctrica de origen eólico,35.12,Producción de energía eléctrica a partir de fuentes renovables,4
35.19,Producción de energía eléctrica de otros tipos,35.12,Producción de energía eléctrica a partir de fuentes renovables,4
35.12,Transporte de energía eléctrica,35.13,Transporte de energía eléctrica,4
35.13,Distribución de energía eléctrica,35.14,Distribución de energía eléctrica,4
35.14,Comercio de energía eléctrica,35.15,Comercio de energía eléctrica,4
35.15,Producción de energía hidroeléctrica,35.16,Almacenamiento de energía eléctrica,4
35.16,Producción de energía eléctrica de origen térmico convencional,35.16,Almacenamiento de energía eléctrica,4
35.17,Producción de energía eléctrica de origen nuclear,35.16,Almacenamiento de energía eléctrica,4
35.18,Producción de energía eléctrica de origen eólico,35.16,Almacenamiento de energía eléctrica,4
35.19,Producción de energía eléctrica de otros tipos,35.16,Almacenamiento de energía eléctrica,4
35.2,Producción de gas; distribución por tubería de combustibles gaseosos,35.2,Producción de gas y distribución por tubería de combustibles gaseosos,3
52.1,Depósito y almacenamiento,35.2,Producción de gas y distribución por tubería de combustibles gaseosos,3
35.21,Producción de gas,35.21,Producción de gas,4
35.22,Distribución por tubería de combustibles gaseosos,35.22,Distribución por tubería de combustibles gaseosos,4
35.23,Comercio de gas por tubería,35.23,Comercio de gas por tuberías ,4
52.10,Depósito y almacenamiento,35.24,Almacenamiento de gas como parte de los servicios de suministro de la red,4
35.3,Suministro de vapor y aire acondicionado,35.3,Suministro de vapor y aire acondicionado ,3
35.30,Suministro de vapor y aire acondicionado,35.30,Suministro de vapor y aire acondicionado ,4
35.1,"Producción, transporte y distribución de energía eléctrica",35.4,Actividades de intermediación de energía eléctrica y gas natural,3
35.2,Producción de gas; distribución por tubería de combustibles gaseosos,35.4,Actividades de intermediación de energía eléctrica y gas natural,3
35.14,Comercio de energía eléctrica,35.40,Actividades de intermediación de energía eléctrica y gas natural,4
35.23,Comercio de gas por tubería,35.40,Actividades de intermediación de energía eléctrica y gas natural,4
36,"Captación, depuración y distribución de agua",36,"Captación, depuración y distribución de agua",2
36.0,"Captación, depuración y distribución de agua",36.0,"Captación, depuración y distribución de agua",3
36.00,"Captación, depuración y distribución de agua",36.00,"Captación, depuración y distribución de agua",4
37,Recogida y tratamiento de aguas residuales,37,Recogida y tratamiento de aguas residuales,2
37.0,Recogida y tratamiento de aguas residuales,37.0,Recogida y tratamiento de aguas residuales,3
37.00,Recogida y tratamiento de aguas residuales,37.00,Recogida y tratamiento de aguas residuales,4
38,"Recogida, tratamiento y eliminación de residuos; valorización",38,"Actividades de recogida, tratamiento y eliminación de residuos ",2
38.1,Recogida de residuos,38.1,Recogida de residuos ,3
38.11,Recogida de residuos no peligrosos,38.11,Recogida de residuos no peligrosos,4
38.12,Recogida de residuos peligrosos,38.12,Recogida de residuos peligrosos,4
38.2,Tratamiento y eliminación de residuos,38.2,Valorización de residuos,3
38.3,Valorización,38.2,Valorización de residuos,3
38.21,Tratamiento y eliminación de residuos no peligrosos,38.21,Valorización de materiales,4
38.31,Separación y clasificación de materiales,38.21,Valorización de materiales,4
38.32,Valorización de materiales ya clasificados,38.21,Valorización de materiales,4
38.21,Tratamiento y eliminación de residuos no peligrosos,38.22,Valorización energética,4
38.22,Tratamiento y eliminación de residuos peligrosos,38.22,Valorización energética,4
38.21,Tratamiento y eliminación de residuos no peligrosos,38.23,Otra valorización de residuos,4
38.22,Tratamiento y eliminación de residuos peligrosos,38.23,Otra valorización de residuos,4
38.2,Tratamiento y eliminación de residuos,38.3,Eliminación de residuos sin valorización,3
38.21,Tratamiento y eliminación de residuos no peligrosos,38.31,Incineración sin valorización energética,4
38.22,Tratamiento y eliminación de residuos peligrosos,38.31,Incineración sin valorización energética,4
38.21,Tratamiento y eliminación de residuos no peligrosos,38.32,Depósito en vertederos o almacenamiento permanente,4
38.22,Tratamiento y eliminación de residuos peligrosos,38.32,Depósito en vertederos o almacenamiento permanente,4
38.21,Tratamiento y eliminación de residuos no peligrosos,38.33,Otra eliminación de residuos,4
38.22,Tratamiento y eliminación de residuos peligrosos,38.33,Otra eliminación de residuos,4
39,Actividades de descontaminación y otros servicios de gestión de residuos,39,Actividades de descontaminación y otros servicios de gestión de residuos,2
39.0,Actividades de descontaminación y otros servicios de gestión de residuos,39.0,Actividades de descontaminación y otros servicios de gestión de residuos,3
39.00,Actividades de descontaminación y otros servicios de gestión de residuos,39.00,Actividades de descontaminación y otros servicios de gestión de residuos,4
41,Construcción de edificios,41,Construcción de edificios,2
41.2,Construcción de edificios,41.0,Construcción de edificios,3
41.21,Construcción de edificios residenciales,41.01,Construcción de edificios residenciales,4
41.22,Construcción de edificios no residenciales,41.02,Construcción de edificios no residenciales,4
42,Ingeniería civil,42,Ingeniería civil,2
43,Actividades de construcción especializada,42,Ingeniería civil,2
42.1,"Construcción de carreteras y vías férreas, puentes y túneles",42.1,"Construcción de carreteras y vías férreas, puentes y túneles",3
42.11,Construcción de carreteras y autopistas,42.11,Construcción de carreteras y autopistas,4
42.12,Construcción de vías férreas de superficie y subterráneas,42.12,Construcción de vías férreas de superficie y subterráneas,4
42.13,Construcción de puentes y túneles,42.13,Construcción de puentes y túneles,4
42.2,Construcción de redes,42.2,Construcción de redes,3
42.21,Construcción de redes para fluidos,42.21,Construcción de redes para fluidos,4
42.22,Construcción de redes eléctricas y de telecomunicaciones,42.22,Construcción de redes eléctricas y de telecomunicaciones,4
42.9,Construcción de otros proyectos de ingeniería civil,42.9,Construcción de otros proyectos de ingeniería civil,3
43.9,Otras actividades de construcción especializada,42.9,Construcción de otros proyectos de ingeniería civil,3
42.91,Obras hidráulicas,42.91,Obras hidráulicas,4
42.99,Construcción de otros proyectos de ingeniería civil n.c.o.p.,42.99,Construcción de otros proyectos de ingeniería civil n.c.o.p.,4
43.99,Otras actividades de construcción especializada n.c.o.p.,42.99,Construcción de otros proyectos de ingeniería civil n.c.o.p.,4
41,Construcción de edificios,43,Actividades de construcción especializada,2
42,Ingeniería civil,43,Actividades de construcción especializada,2
43,Actividades de construcción especializada,43,Actividades de construcción especializada,2
82,Actividades administrativas de oficina y otras actividades auxiliares a las empresas,43,Actividades de construcción especializada,2
43.1,Demolición y preparación de terrenos,43.1,Demolición y preparación de terrenos,3
43.11,Demolición,43.11,Demolición,4
43.12,Preparación de terrenos,43.12,Preparación de terrenos,4
43.13,Perforaciones y sondeos,43.13,Perforaciones y sondeos,4
43.2,"Instalaciones eléctricas, de fontanería y otras instalaciones en obras de construcción",43.2,"Instalaciones eléctricas, de fontanería y otras instalaciones en obras de construcción",3
43.3,Acabado de edificios,43.2,"Instalaciones eléctricas, de fontanería y otras instalaciones en obras de construcción",3
43.9,Otras actividades de construcción especializada,43.2,"Instalaciones eléctricas, de fontanería y otras instalaciones en obras de construcción",3
43.21,Instalaciones eléctricas,43.21,Instalaciones eléctricas,4
43.22,"Fontanería, instalaciones de sistemas de calefacción y aire acondicionado",43.22,"Fontanería, instalación de sistemas de calefacción y aire acondicionado",4
43.99,Otras actividades de construcción especializada n.c.o.p.,43.22,"Fontanería, instalación de sistemas de calefacción y aire acondicionado",4
43.29,Otras instalaciones en obras de construcción,43.23,Instalación de aislamientos,4
43.39,Otro acabado de edificios,43.23,Instalación de aislamientos,4
43.99,Otras actividades de construcción especializada n.c.o.p.,43.23,Instalación de aislamientos,4
43.29,Otras instalaciones en obras de construcción,43.24,Otras instalaciones en obras de construcción,4
43.3,Acabado de edificios,43.3,Acabado de edificios,3
43.9,Otras actividades de construcción especializada,43.3,Acabado de edificios,3
43.31,Revocamiento,43.31,Revocamiento,4
43.39,Otro acabado de edificios,43.31,Revocamiento,4
43.32,Instalación de carpintería,43.32,Instalación de carpintería,4
43.39,Otro acabado de edificios,43.32,Instalación de carpintería,4
43.33,Revestimiento de suelos y paredes,43.33,Revestimiento de suelos y paredes,4
43.39,Otro acabado de edificios,43.33,Revestimiento de suelos y paredes,4
43.34,Pintura y acristalamiento,43.34,Pintura y acristalamiento,4
43.39,Otro acabado de edificios,43.34,Pintura y acristalamiento,4
43.39,Otro acabado de edificios,43.35,Otros acabados de edificios,4
43.99,Otras actividades de construcción especializada n.c.o.p.,43.35,Otros acabados de edificios,4
43.9,Otras actividades de construcción especializada,43.4,Actividades de construcción especializada en la construcción de edificios,3
43.91,Construcción de cubiertas,43.41,Construcción de cubiertas,4
43.99,Otras actividades de construcción especializada n.c.o.p.,43.41,Construcción de cubiertas,4
43.99,Otras actividades de construcción especializada n.c.o.p.,43.42,Otras actividades de construcción especializada en la construcción de edificios,4
42.1,"Construcción de carreteras y vías férreas, puentes y túneles",43.5,Actividades de construcción especializada en ingeniería civil,3
43.9,Otras actividades de construcción especializada,43.5,Actividades de construcción especializada en ingeniería civil,3
42.11,Construcción de carreteras y autopistas,43.50,Actividades de construcción especializada en ingeniería civil,4
43.99,Otras actividades de construcción especializada n.c.o.p.,43.50,Actividades de construcción especializada en ingeniería civil,4
82.9,Actividades de apoyo a las empresas n.c.o.p.,43.6,Actividades de intermediación para servicios de construcción especializada,3
82.99,Otras actividades de apoyo a las empresas n.c.o.p.,43.60,Actividades de intermediación para servicios de construcción especializada,4
41.2,Construcción de edificios,43.9,Otras actividades de construcción especializada,3
43.9,Otras actividades de construcción especializada,43.9,Otras actividades de construcción especializada,3
43.99,Otras actividades de construcción especializada n.c.o.p.,43.91,Actividades de mampostería y albañilería,4
41.21,Construcción de edificios residenciales,43.99,Otras actividades de construcción especializada n.c.o.p.,4
41.22,Construcción de edificios no residenciales,43.99,Otras actividades de construcción especializada n.c.o.p.,4
43.99,Otras actividades de construcción especializada n.c.o.p.,43.99,Otras actividades de construcción especializada n.c.o.p.,4
45,Venta y reparación de vehículos de motor y motocicletas,46,Comercio al por mayor,2
46,"Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas",46,Comercio al por mayor,2
82,Actividades administrativas de oficina y otras actividades auxiliares a las empresas,46,Comercio al por mayor,2
45.1,Venta de vehículos de motor,46.1,Intermediarios del comercio al por mayor,3
45.3,Comercio de repuestos y accesorios de vehículos de motor,46.1,Intermediarios del comercio al por mayor,3
45.4,"Venta, mantenimiento y reparación de motocicletas y de sus repuestos y accesorios",46.1,Intermediarios del comercio al por mayor,3
46.1,Intermediarios del comercio,46.1,Intermediarios del comercio al por mayor,3
82.9,Actividades de apoyo a las empresas n.c.o.p.,46.1,Intermediarios del comercio al por mayor,3
46.11,"Intermediarios del comercio de materias primas agrarias, animales vivos, materias primas textiles y productos semielaborados",46.11,"Actividades de intermediarios del comercio al por mayor de materias primas agrarias, animales vivos, materias primas textiles y productos semielaborados",4
82.99,Otras actividades de apoyo a las empresas n.c.o.p.,46.11,"Actividades de intermediarios del comercio al por mayor de materias primas agrarias, animales vivos, materias primas textiles y productos semielaborados",4
46.12,"Intermediarios del comercio de combustibles, minerales, metales y productos químicos industriales",46.12,"Actividades de intermediarios del comercio al por mayor de combustibles, minerales, metales y productos químicos industriales",4
82.99,Otras actividades de apoyo a las empresas n.c.o.p.,46.12,"Actividades de intermediarios del comercio al por mayor de combustibles, minerales, metales y productos químicos industriales",4
46.13,Intermediarios del comercio de la madera y materiales de construcción,46.13,Actividades de intermediarios del comercio al por mayor de la madera y materiales de construcción,4
82.99,Otras actividades de apoyo a las empresas n.c.o.p.,46.13,Actividades de intermediarios del comercio al por mayor de la madera y materiales de construcción,4
46.14,"Intermediarios del comercio de maquinaria, equipo industrial, embarcaciones y aeronaves",46.14,"Actividades de intermediarios del comercio al por mayor de maquinaria, equipo industrial, embarcaciones y aeronaves",4
82.99,Otras actividades de apoyo a las empresas n.c.o.p.,46.14,"Actividades de intermediarios del comercio al por mayor de maquinaria, equipo industrial, embarcaciones y aeronaves",4
46.15,"Intermediarios del comercio de muebles, artículos para el hogar y ferretería",46.15,"Actividades de intermediarios del comercio al por mayor de muebles, artículos para el hogar y ferretería",4
82.99,Otras actividades de apoyo a las empresas n.c.o.p.,46.15,"Actividades de intermediarios del comercio al por mayor de muebles, artículos para el hogar y ferretería",4
46.16,"Intermediarios del comercio de textiles, prendas de vestir, peletería, calzado y artículos de cuero",46.16,"Actividades de intermediarios del comercio al por mayor de textiles, prendas de vestir, peletería, calzado y artículos de cuero",4
82.99,Otras actividades de apoyo a las empresas n.c.o.p.,46.16,"Actividades de intermediarios del comercio al por mayor de textiles, prendas de vestir, peletería, calzado y artículos de cuero",4
